epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54145,1.70227,4.46721,1.57941,0.00249,0.14167,0.0033,0.00113,1.51981,5.03034,1.57907,1.428e-05,1.428e-05,1.428e-05
2,2.76492,1.57815,4.35418,1.4708,0.31761,0.1683,0.11584,0.08699,1.52338,3.65473,1.55461,3.55233e-05,3.55233e-05,3.55233e-05
3,5.20346,1.59338,3.34669,1.54042,0.24742,0.65278,0.51382,0.3044,1.42795,2.50361,1.51405,5.65545e-05,5.65545e-05,5.65545e-05
4,7.57242,1.32039,2.10942,1.30531,0.6559,0.7358,0.78118,0.48834,1.33421,2.60201,1.50897,7.73737e-05,7.73737e-05,7.73737e-05
5,10.2024,1.10153,1.49443,1.15767,0.67214,0.7902,0.86366,0.57373,1.22335,2.7264,1.42308,9.79808e-05,9.79808e-05,9.79808e-05
6,12.7539,1.09849,1.36248,1.18643,0.56127,0.85658,0.88655,0.58749,1.18682,2.73062,1.36507,0.000118376,0.000118376,0.000118376
7,15.1578,1.13341,1.33433,1.20308,0.79141,0.77222,0.82803,0.58595,1.23338,2.10946,1.42214,0.000138559,0.000138559,0.000138559
8,16.8005,1.04335,1.13134,1.15786,0.71557,0.8043,0.83035,0.58717,1.24343,2.17406,1.40559,0.00015853,0.00015853,0.00015853
9,18.5289,0.95831,1.16001,1.13204,0.69501,0.59777,0.73442,0.53525,1.23317,1.99789,1.40469,0.000178289,0.000178289,0.000178289
10,20.1186,0.96022,1.00048,1.12777,0.58688,0.86731,0.75668,0.55474,1.28542,1.89467,1.44833,0.000197835,0.000197835,0.000197835
11,21.7993,0.92773,0.9883,1.05057,0.80221,0.77425,0.87836,0.61094,1.27884,1.75987,1.49222,0.00021717,0.00021717,0.00021717
12,24.1638,0.91603,0.92878,1.06184,0.69779,0.81433,0.81082,0.57245,1.21639,1.72759,1.46133,0.000236293,0.000236293,0.000236293
13,25.8442,0.94308,0.90133,1.08591,0.63525,0.87966,0.78934,0.55819,1.20116,1.86439,1.49872,0.000255204,0.000255204,0.000255204
14,27.4807,0.88065,0.88191,1.062,0.5785,0.8936,0.82858,0.58707,1.17765,1.81566,1.4525,0.000273902,0.000273902,0.000273902
15,29.1614,0.88497,0.93573,1.10097,0.63257,0.87093,0.84853,0.59675,1.1815,1.57673,1.4036,0.000292389,0.000292389,0.000292389
16,30.8796,0.88276,0.88147,1.07421,0.77006,0.82228,0.85426,0.58223,1.19855,1.56893,1.4423,0.000310663,0.000310663,0.000310663
17,32.5735,0.89094,0.85938,1.084,0.61547,0.78784,0.8032,0.53404,1.20081,1.86034,1.49481,0.000328726,0.000328726,0.000328726
18,34.3014,0.87115,0.81631,1.03702,0.60116,0.78494,0.80922,0.5926,1.23013,1.73779,1.55548,0.000346576,0.000346576,0.000346576
19,35.9709,0.88945,0.75893,1.09122,0.65356,0.79444,0.74803,0.56513,1.18312,1.82331,1.46781,0.000364214,0.000364214,0.000364214
20,37.5939,0.76099,0.7775,0.9908,0.57593,0.76944,0.71925,0.53797,1.20384,2.2542,1.44493,0.00038164,0.00038164,0.00038164
